,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
AshdownReservoir,0.03581510416666667,0.038117187500000003,0.038825520833333335,0.04329687499999999,0.055471354166666674,0.087390625,0.10554166666666664,0.09487239583333333,0.0877890625,0.08469010416666667,0.08119270833333332,0.07216145833333333,0.07194010416666666,0.0705234375,0.07490625,0.08322916666666666,0.09996354166666667,0.10031770833333332,0.09929947916666666,0.0936328125,0.0774296875,0.059854166666666674,0.0428984375,0.03625781249999999,0.031963541666666664,0.03324739583333334,0.03430989583333333,0.038825520833333335,0.04949479166666667,0.08044010416666665,0.0945625,0.08876302083333332,0.08300781249999999,0.07216145833333332,0.06538802083333332,0.06220052083333333,0.0620234375,0.06375,0.06127083333333333,0.06277604166666666,0.07610156249999998,0.08110416666666666,0.07481770833333333,0.07047916666666666,0.06742447916666666,0.05666666666666667,0.042544270833333335,0.035106770833333335,0.030635416666666665,0.030502604166666666,0.03125520833333333,0.035682291666666664,0.04573177083333333,0.0763671875,0.0957578125,0.09172916666666665,0.08123697916666665,0.07711979166666667,0.07521614583333333,0.07251562499999999,0.07074479166666665,0.07216145833333333,0.07065624999999999,0.07813802083333334,0.088984375,0.09332291666666666,0.09093229166666666,0.08442447916666668,0.07539322916666666,0.05896874999999999,0.04639583333333333,0.03882552083333333
BalcombeReservoir,0.02634114583333333,0.025322916666666667,0.0248359375,0.02709375,0.04201302083333333,0.066140625,0.07964322916666666,0.07220572916666666,0.0668046875,0.06556510416666667,0.0641484375,0.0595,0.057419270833333334,0.05710937499999999,0.05954427083333333,0.06370572916666666,0.07149739583333332,0.08376041666666666,0.07787239583333333,0.07260416666666668,0.06246614583333334,0.04945052083333334,0.03634635416666666,0.029749999999999995,0.02820052083333333,0.027403645833333337,0.026783854166666662,0.02966145833333333,0.042809895833333333,0.06618489583333333,0.07384375,0.071984375,0.06808854166666665,0.06410416666666667,0.06056249999999999,0.06025260416666667,0.059367187499999995,0.05719791666666666,0.06113802083333333,0.06698177083333333,0.07322395833333332,0.07698697916666666,0.07893489583333334,0.07689843749999999,0.06361718749999999,0.0506015625,0.037143229166666666,0.030104166666666658,0.028156249999999997,0.027049479166666664,0.027182291666666664,0.02979427083333333,0.04506770833333334,0.06795572916666666,0.08004166666666666,0.07946614583333332,0.07703125,0.07362239583333334,0.0721171875,0.0690625,0.06405989583333332,0.06251041666666667,0.0652109375,0.0699921875,0.07875781250000001,0.08198958333333334,0.08004166666666666,0.07526041666666668,0.0683984375,0.0521953125,0.03825,0.030856770833333328
BestBeechReservoir,0.026429687499999997,0.027049479166666668,0.026518229166666667,0.030458333333333334,0.04798958333333334,0.07778385416666665,0.08650520833333335,0.07711979166666666,0.07495052083333333,0.07393229166666666,0.0758359375,0.07441927083333333,0.0711875,0.07260416666666666,0.070390625,0.06999218749999998,0.0795546875,0.0839375,0.08079427083333332,0.0721171875,0.06251041666666667,0.04750260416666666,0.03209635416666666,0.026385416666666665,0.023552083333333335,0.022268229166666667,0.02209114583333333,0.025809895833333336,0.045820312499999995,0.0737109375,0.0883203125,0.08269791666666666,0.07583593749999999,0.07517187499999999,0.07375520833333334,0.070390625,0.06410416666666667,0.0588359375,0.055249999999999994,0.04976041666666666,0.057463541666666666,0.062156249999999996,0.05985416666666666,0.05414322916666667,0.04945052083333334,0.04072916666666667,0.028510416666666667,0.023640625000000002,0.021604166666666664,0.020940104166666664,0.020453125,0.023463541666666667,0.037497395833333336,0.0633515625,0.07667708333333334,0.07225,0.06715885416666667,0.0652109375,0.059234374999999985,0.05706510416666666,0.055249999999999994,0.055028645833333334,0.0556484375,0.06295312500000001,0.07136458333333334,0.07521614583333334,0.073046875,0.06352864583333333,0.058481770833333335,0.04537760416666667,0.03377864583333333,0.02904166666666666
ButlersGreenReservoir,0.10881770833333332,0.1275885416666667,0.11134114583333334,0.13037760416666666,0.2545130208333333,0.4676770833333334,0.5834453125,0.41734114583333337,0.33676822916666665,0.3262317708333334,0.3124635416666667,0.36014322916666663,0.39671093749999997,0.36935156249999995,0.38998177083333335,0.45435156250000003,0.5174374999999999,0.5690130208333333,0.5726875,0.49915364583333327,0.32694010416666663,0.203734375,0.12063802083333332,0.10204427083333334,0.10859635416666667,0.10359375,0.13533593749999998,0.1539296875,0.33375781250000003,0.5595833333333333,0.5202265625000001,0.3858203125,0.3564244791666667,0.31503125,0.28780468750000004,0.3112682291666667,0.3792239583333334,0.36930729166666665,0.411984375,0.44403645833333333,0.5130989583333334,0.5477187499999999,0.5270442708333333,0.47502604166666657,0.29599479166666665,0.19665104166666666,0.12187760416666665,0.08243229166666667,0.08787760416666666,0.07654427083333333,0.08159114583333334,0.186734375,0.3083020833333333,0.5480729166666666,0.5960625,0.4326145833333333,0.3736458333333333,0.3779401041666666,0.44859635416666666,0.4314635416666666,0.4124713541666667,0.335484375,0.3036536458333334,0.3728932291666667,0.5411223958333333,0.5504192708333332,0.4105677083333333,0.34371875,0.28643229166666667,0.21024218749999998,0.13161718749999998,0.08225520833333333
ChilliesReservoir,0.019744791666666667,0.0328046875,0.018328125,0.020453125,0.019744791666666664,0.032671874999999996,0.04546614583333333,0.036080729166666665,0.030325520833333328,0.036125,0.040463541666666665,0.02554427083333333,0.03962239583333334,0.03621354166666667,0.03191927083333333,0.05640104166666667,0.04303124999999999,0.041348958333333324,0.04201302083333333,0.03156510416666666,0.0317421875,0.02921875,0.03577083333333333,0.0104921875,0.013812499999999998,0.029484375000000004,0.015937500000000004,0.026872395833333337,0.008854166666666668,0.0197890625,0.03351302083333333,0.03346875,0.012572916666666665,0.024614583333333332,0.03554947916666667,0.037054687499999996,0.029882812499999998,0.038781249999999996,0.022666666666666665,0.018239583333333333,0.04303125,0.04072916666666667,0.032361979166666666,0.039135416666666666,0.030635416666666665,0.0219140625,0.023419270833333335,0.014653645833333333,0.0180625,0.014875,0.011908854166666668,0.012794270833333335,0.0187265625,0.019611979166666665,0.027536458333333333,0.030768229166666664,0.0265625,0.011244791666666669,0.03028125,0.036744791666666665,0.0282890625,0.028731770833333333,0.03926822916666666,0.0333359375,0.022976562500000002,0.044625,0.040153645833333335,0.03453125,0.04329687499999999,0.02235677083333333,0.015671875000000002,0.01682291666666667
CottageHillReservoir,0.06321875,0.06397135416666666,0.06361718749999999,0.07711979166666667,0.10793229166666667,0.16318229166666667,0.18881510416666666,0.17739322916666667,0.16907031250000001,0.15601041666666668,0.15211458333333336,0.1464921875,0.15127343750000002,0.14764322916666667,0.15074218749999999,0.15308854166666666,0.17323177083333333,0.20222916666666665,0.19421614583333335,0.1762421875,0.146625,0.11864583333333334,0.08668229166666667,0.07344531250000001,0.06698177083333333,0.06605208333333333,0.065875,0.07167447916666667,0.09952083333333334,0.15547916666666664,0.18359114583333333,0.1793411458333333,0.1688932291666667,0.16371354166666666,0.15308854166666666,0.1366640625,0.12710156250000001,0.12223177083333332,0.12302864583333334,0.11665364583333333,0.13489322916666666,0.1465364583333333,0.14498697916666667,0.13546875,0.12028385416666666,0.10447916666666666,0.07707552083333334,0.06405989583333332,0.059898437500000005,0.05786197916666667,0.057109375,0.061182291666666666,0.08730208333333334,0.14472135416666665,0.17960677083333335,0.1698671875,0.15592187500000002,0.14573958333333334,0.13648697916666666,0.13245833333333332,0.1318828125,0.13090885416666667,0.1377265625,0.14932552083333334,0.18049218749999998,0.18664583333333332,0.18385677083333332,0.1671223958333333,0.14379166666666665,0.12046093749999999,0.08734635416666665,0.07056770833333333
CrowboroughReservoir,0.07158593749999999,0.07685416666666668,0.067734375,0.0795546875,0.10833072916666665,0.16287239583333335,0.18159895833333337,0.16636979166666666,0.15167187499999998,0.12378125,0.11213802083333331,0.12674739583333333,0.1124921875,0.1010703125,0.11948697916666666,0.14684635416666666,0.16256250000000003,0.1688046875,0.17637499999999998,0.15676302083333332,0.13285677083333333,0.11461718750000001,0.09283593750000001,0.078625,0.06928385416666667,0.07282552083333334,0.06423697916666667,0.07570312500000001,0.12015104166666664,0.17925260416666666,0.19040885416666667,0.16632552083333332,0.1565859375,0.13223697916666666,0.1317942708333333,0.12453385416666667,0.12409114583333332,0.12187760416666665,0.12015104166666667,0.13117447916666666,0.1448098958333333,0.13445052083333334,0.13449479166666667,0.13560156250000002,0.13684114583333334,0.11700781249999999,0.09199479166666667,0.07906770833333333,0.0739765625,0.07154166666666666,0.07123177083333333,0.07627864583333334,0.09531510416666665,0.16344791666666666,0.19341927083333332,0.17708333333333334,0.14454427083333332,0.13785937499999998,0.13431770833333334,0.12289583333333336,0.11536979166666667,0.12298437499999999,0.12723437499999998,0.13542447916666667,0.15565625,0.16185416666666666,0.14295052083333332,0.12958072916666666,0.13059895833333332,0.11567968749999998,0.09332291666666666,0.0763671875
CuckfieldReservoir,0.051265625,0.049184895833333346,0.049007812500000004,0.05578125,0.11049999999999999,0.1851848958333333,0.22299218749999997,0.20156510416666665,0.18792968750000003,0.18257291666666667,0.1675208333333333,0.172921875,0.145828125,0.14179947916666666,0.16636979166666666,0.19758072916666666,0.22888020833333333,0.24499479166666668,0.23915104166666665,0.22494010416666665,0.1995286458333333,0.1510078125,0.12355989583333332,0.12838541666666667,0.10403645833333335,0.09624479166666668,0.09677604166666666,0.1021328125,0.12714583333333335,0.19412760416666663,0.24366666666666661,0.2405677083333333,0.2057265625,0.18792968750000003,0.17726041666666667,0.17482552083333336,0.15795833333333334,0.15052083333333333,0.1553020833333333,0.15778125,0.17553385416666667,0.18722135416666666,0.19204687499999998,0.17447135416666668,0.15755989583333332,0.13020052083333333,0.0787578125,0.06308593750000001,0.05529427083333333,0.05467447916666666,0.05489583333333333,0.08256510416666667,0.11244791666666665,0.17371875000000003,0.2235234375,0.204265625,0.19408333333333336,0.19381770833333334,0.18031510416666663,0.18071354166666667,0.18013802083333333,0.17243489583333335,0.1615,0.16924739583333334,0.19195833333333331,0.20763020833333332,0.19377343749999998,0.17854427083333332,0.17478125000000003,0.14520833333333333,0.11457291666666668,0.09509374999999999
GrovelandsReservoir,0.030236979166666664,0.028466145833333335,0.0280234375,0.03125520833333333,0.055338541666666664,0.10824218749999999,0.12927083333333336,0.1105,0.09730729166666667,0.08672656249999999,0.08212239583333332,0.0768984375,0.07512760416666667,0.07189583333333334,0.07680989583333334,0.08544270833333333,0.10337239583333334,0.11979687500000001,0.11413020833333333,0.10323958333333333,0.09119791666666666,0.06901822916666668,0.04515624999999999,0.03218489583333333,0.027624999999999997,0.026341145833333333,0.024348958333333337,0.029041666666666664,0.054763020833333335,0.10629427083333336,0.12909374999999998,0.10908333333333331,0.09646614583333334,0.0899140625,0.08362760416666666,0.0766328125,0.07340104166666665,0.07176302083333333,0.07561458333333333,0.08557552083333335,0.10284114583333333,0.11598958333333331,0.11103125000000001,0.10182291666666665,0.09093229166666666,0.07255989583333333,0.047148437499999994,0.033999999999999996,0.028510416666666663,0.027093749999999996,0.027226562499999996,0.030723958333333332,0.05277083333333334,0.10337239583333334,0.13175,0.12063802083333332,0.10819791666666666,0.09602343750000002,0.087390625,0.08252083333333333,0.08039583333333333,0.07782812500000001,0.08136979166666666,0.09022395833333334,0.10540885416666668,0.11718489583333334,0.10815364583333333,0.10368229166666666,0.09257031250000002,0.07605729166666667,0.05277083333333334,0.03825
HorstedKeynesReservoir,0.0915078125,0.09628906250000001,0.09876822916666667,0.09814843749999998,0.13352083333333334,0.2352109375,0.2986510416666666,0.2758072916666667,0.2535833333333333,0.2314036458333333,0.22919010416666666,0.21905208333333334,0.21484635416666667,0.21369531249999998,0.20103385416666664,0.2116145833333333,0.25145833333333334,0.2924973958333333,0.2880260416666667,0.27005208333333336,0.22848177083333332,0.17681770833333332,0.13059895833333332,0.096421875,0.087125,0.08057291666666666,0.0798203125,0.08907291666666667,0.13467187499999997,0.23587499999999997,0.29254166666666664,0.26828125,0.24844791666666666,0.22759635416666665,0.21679427083333333,0.1985104166666667,0.18881510416666666,0.18235156249999998,0.19164843750000002,0.24419791666666665,0.28421875,0.28997395833333334,0.2583203125,0.24039062499999997,0.2012109375,0.17035416666666667,0.12245312499999998,0.09044531249999999,0.07915625,0.07654427083333333,0.07194010416666667,0.08021874999999999,0.1225859375,0.22175260416666664,0.29156770833333334,0.27124739583333335,0.25907291666666665,0.23702604166666666,0.22312500000000002,0.22228385416666666,0.21905208333333334,0.21360677083333335,0.21679427083333336,0.23166927083333333,0.27253125,0.30011197916666665,0.29316145833333335,0.2610651041666667,0.23158072916666664,0.18106770833333333,0.1385234375,0.09991927083333334
