Reservoirs,Start Level (ML),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
SelsfieldReservoir,4.275,4.399440104166667,4.526359375,4.6520390625,4.770989583333334,4.868513020833333,4.9140625,4.942611979166666,4.983822916666666,5.036677083333333,4.923122395833333,4.813330729166667,4.706018229166667,4.600210937500001,4.486390625000001,4.373677083333335,4.255562500000002,4.300934895833335,4.144437500000002,3.9878958333333356,3.8446796875000024,3.7228906250000025,3.623502604166669,3.5516067708333354,3.493523437500002,3.440531250000002,3.5687343750000022,3.6967161458333355,3.8182786458333355,3.9192552083333356,3.959580729166669,3.965684895833336,3.9846718750000027,4.015611979166669,3.8777526041666692,3.7472421875000026,3.6249218750000027,3.507958333333336,3.3907291666666692,3.4440260416666693,3.4939583333333357,3.5297239583333355,3.5512786458333356,3.572346354166669,3.605322916666669,3.6682708333333354,3.7500338541666687,3.8584921875000022,3.980187500000002,4.1064427083333355,4.235664062500002,4.364486979166669,4.308307291666669,4.411364583333335,4.460588541666668,4.473333333333335,4.497234375000002,4.536895833333336,4.585322916666669,4.649466145833336,4.714981770833336,4.771156250000002,4.643744791666669,4.522221354166669,4.38608854166667,4.228263020833336,4.054145833333336,3.8914947916666693,3.743497395833336,3.6113932291666693,3.506161458333336,3.4306354166666693,3.370072916666669
GrovelandsReservoir,3.45,3.4897630208333337,3.5312968750000002,3.5732734375,3.612018229166667,3.6266796875000002,3.5884375000000004,3.5291666666666672,3.238666666666667,2.9613593750000002,2.8746328125000002,2.792510416666667,2.965611979166667,3.140484375,3.3185885416666667,3.4917786458333335,3.6563359375,3.622963541666667,3.503166666666667,3.3890364583333334,3.285796875,3.194598958333333,3.1255807291666664,3.0804244791666666,3.0482395833333333,3.0206145833333333,2.8142734375,2.8599244791666667,2.9008828125,2.9161197916666666,2.879825520833333,2.820731770833333,2.7816484375,2.7551822916666664,2.9152682291666663,3.0816406249999995,3.2550078124999997,3.431606770833333,3.6098437499999996,3.6042291666666664,3.588653645833333,3.5558124999999996,3.5098229166666663,3.4687916666666663,3.4369687499999997,3.416036458333333,3.4134765624999996,3.4363281249999997,3.4723281249999998,3.5138177083333333,3.5567239583333334,3.5994973958333336,3.8187734375000004,3.836002604166667,3.802630208333334,3.740880208333334,3.6902421875000004,3.6520442708333336,3.6260208333333335,3.6086302083333335,3.596109375,3.585713541666667,3.757885416666667,3.9265156250000004,4.086291666666667,3.9808828125,3.8636979166666667,3.7555442708333335,3.6518619791666667,3.5592916666666667,3.483234375,3.4304635416666667,3.3922135416666666
BalcombeReservoir,3.225,3.1986588541666667,3.1733359375,3.1485000000000003,3.12140625,3.079393229166667,3.013252604166667,2.9336093750000005,2.861403645833334,3.104598958333334,3.0390338541666675,2.9748854166666674,2.9153854166666675,2.857966145833334,3.110856770833334,3.361312500000001,3.607606770833334,3.536109375000001,3.452348958333334,3.374476562500001,3.611872395833334,3.8594062500000006,3.8099557291666675,3.773609375000001,3.743859375000001,3.7156588541666675,3.688255208333334,3.6614713541666672,3.631809895833334,3.5890000000000004,3.522815104166667,3.448971354166667,3.376986979166667,3.3088984375000003,3.2447942708333337,3.1842317708333336,3.123979166666667,3.064611979166667,3.0074140625000005,2.946276041666667,2.879294270833334,2.8060703125000006,3.039083333333334,3.2701484375000005,3.5032500000000004,3.4396328125000006,3.389031250000001,3.3518880208333344,3.3217838541666675,3.2936276041666677,3.266578125000001,3.2393958333333344,3.209601562500001,3.1645338541666677,3.096578125000001,3.0165364583333343,2.937070312500001,2.8600390625000007,2.786416666666667,2.7142994791666673,2.6452369791666674,2.891177083333334,3.1386666666666674,3.383455729166667,3.623463541666667,3.854705729166667,3.772716145833334,3.692674479166667,3.6174140625000004,3.5490156250000005,3.4968203125000006,3.4585703125000005,3.4277135416666673
CuckfieldReservoir,3.45,3.538734375,3.6295494791666667,3.7205416666666666,3.8047604166666664,3.8342604166666665,3.7890755208333333,3.7060833333333334,3.6445182291666667,3.5965885416666667,3.554015625,3.5264947916666665,3.4935729166666665,3.4877447916666666,3.4859453125,3.4595755208333334,3.4019947916666666,3.3131145833333333,3.208119791666667,3.1089687500000003,3.024028645833334,2.9645000000000006,2.9534921875000006,2.9699322916666673,2.9815468750000007,3.0175104166666675,3.0612656250000008,3.104489583333334,3.142356770833334,3.1552109375000006,3.101083333333334,2.997416666666667,2.896848958333334,2.831122395833334,2.783192708333334,2.870932291666667,2.9611067708333336,3.0681484375,3.182627604166667,3.1673255208333337,3.1495442708333337,3.114010416666667,3.0667890625000003,3.0147421875000004,2.980270833333334,2.9627109375000007,2.972510416666667,3.033752604166667,3.1106666666666674,3.195372395833334,3.2806979166666674,3.365802083333334,3.4232369791666675,3.575789062500001,3.667070312500001,3.708546875000001,3.769281250000001,3.8401979166666678,3.7863802083333344,3.746065104166668,3.705351562500001,3.6652135416666676,3.6327786458333344,3.6112786458333344,3.582031250000001,3.5300729166666676,3.4624427083333345,3.4086692708333346,3.370125000000001,3.335343750000001,3.3301354166666677,3.355562500000001,3.400468750000001
ButlersGreenReservoir,6.675,6.907136441666666,7.12050205,7.350115054166666,7.5606916,7.647132729166667,7.520409795833333,7.277918633333333,7.2015316375,7.205717558333333,7.2204399375,7.248930545833334,7.229741466666667,7.173984679166667,7.145587266666666,7.096559645833333,6.983162233333332,6.8066788833333325,6.578620012499999,6.346886662499999,6.188687166666666,6.202701212499999,6.339920987499999,6.560237116666666,6.799146995833333,7.0315047916666655,7.268865191666666,7.474483404166666,7.661507866666666,7.668704204166666,7.450075020833332,7.270802608333332,7.225936445833332,7.210466116666665,7.236389016666665,7.289538479166665,7.319224399999998,7.2809545916666645,7.252601449999998,7.181571224999997,7.078488916666664,6.906344108333331,6.699579508333331,6.513489387499997,6.379417495833331,6.424376854166664,6.568679962499997,6.787756508333331,7.046278366666664,7.2993549124999975,7.563764791666664,7.82312779583333,7.97734757083333,8.009999637499996,7.80288087083333,7.5477725208333295,7.456112087499996,7.423420404166662,7.386434449999995,7.278792245833328,7.188282854166661,7.116765649999994,7.122235424999994,7.159535929166661,7.127596849999994,6.927428604166661,6.717963483333327,6.6483499249999936,6.645585324999994,6.700107183333327,6.830819145833328,7.040156108333328,7.298855049999994
StFrancisReservoir,6.525,6.5953535775,6.6703113216666665,6.7482794825,6.822927330833333,6.88061945,6.8723480275,6.837824000833334,6.804760911666667,6.7941431350000006,6.795788379166667,6.803056019166667,6.818823659166667,6.8296329658333335,6.845887585,6.8624521,6.866576510833333,6.855560296666667,6.818468561666667,6.771371618333334,6.742469987500001,6.735261065,6.757625059166667,6.813989053333334,6.887751485,6.964391520833333,7.044706035833333,7.124799196666666,7.2009079824999995,7.261743330833333,7.264495345833333,7.238294235833333,7.2265254174999995,7.215553474166666,7.219235176666666,7.231992399999999,7.247804310833333,7.269504242499999,7.291823965833332,7.316534314166666,7.335046745833332,7.326731052499999,7.304425775833332,7.294870499166666,7.284961055833333,7.288288591666666,7.312910398333333,7.3684775175,7.444984740833333,7.52286436,7.6038429375,7.687566306666667,7.767969363333333,7.830000024166666,7.827926518333332,7.787470199999999,7.752105027499999,7.729888292499999,7.721793953333332,7.717064197499999,7.721277149999999,7.722789581666666,7.727489513333333,7.737059236666666,7.739545626666666,7.7122820166666655,7.678687677499999,7.644827713333332,7.614775040833332,7.604068722499999,7.622182716666666,7.673367023333332,7.740001850833332
HorstedKeynesReservoir,27.45,28.0219526945,28.049124139,28.073816416833335,28.099128486333335,28.08906816,27.9773177295,27.802127194833336,27.89978041016667,27.709657583833337,27.851714445000002,27.995984847833334,27.9003932715,27.809007424333334,27.408772618833336,27.56119927166667,27.163045195333336,27.035047369,27.11601048016667,27.2014449455,26.994853369166666,26.82983210533333,27.566474903999996,28.349336452666662,29.16637508466666,29.99271059166666,30.825598181999993,31.409238376499992,31.983625966833326,32.512414598833324,32.94000010583333,32.77091894616666,32.62609820316666,32.5011107935,32.39697494633333,32.303641182499994,32.22859127283333,32.16323667566666,32.10434562016666,32.03615768966666,31.915420279999992,31.754662036999992,31.27814858566666,30.83328878016666,30.40635866216666,30.32860823166666,30.821714571999994,31.362721953999994,31.395737148499993,31.980041405499993,32.56695764166666,32.618478044499994,32.66171980149999,32.66259437099999,31.437635606833325,29.602861738499993,27.788408182666657,25.98612910599999,24.74589690433332,25.18623241133332,25.627409064166656,25.761817487833323,25.90167122399999,25.498337460166656,25.080128696333322,24.87105795333332,24.944406481166652,25.02470552983332,25.13710093266665,25.278980710499987,25.471373509166654,25.706310578666653,25.97985181483332
WychCrossReservoir,10.2,9.9807265625,10.303932291666666,10.630679687499999,10.938833333333331,11.152822916666665,11.194864583333331,11.183781249999997,11.223919270833331,11.29057552083333,11.391143229166664,11.499635416666663,11.630749999999997,11.766690104166663,11.911351562499997,11.490999999999996,11.592453124999997,11.630510416666663,11.62354427083333,11.624901041666662,11.658973958333329,11.750156249999996,11.381468749999996,11.099640624999996,10.861906249999995,10.636789062499995,10.415744791666661,10.189388020833327,9.95129947916666,9.629804687499995,9.132687499999994,9.129395833333328,9.167851562499996,9.242432291666663,9.341273437499996,9.464729166666663,9.603502604166662,9.746880208333328,9.89588020833333,10.029783854166663,10.14248177083333,10.189924479166663,10.20394270833333,10.227567708333329,10.293294270833329,10.403513020833328,10.045539062499994,9.75968229166666,10.053669270833327,9.818591145833327,9.590507812499993,9.908179687499993,10.209427083333328,10.425630208333327,9.929486979166661,9.911718749999995,9.918919270833328,9.964635416666662,9.496914062499995,9.036984374999994,8.598171874999995,8.167505208333328,7.747684895833328,7.861799479166661,7.951874999999995,8.001177083333328,8.054596354166662,8.125104166666663,8.217526041666662,8.34563020833333,8.543151041666663,8.818499999999997,9.14870052083333
NutleyReservoir,2.5125,2.5216562500000004,2.5323177083333337,2.5426692708333336,2.55284375,2.5838227568333334,2.5761533261666667,2.547897958,2.5345175898333334,2.5201189925,2.521170916,2.5262072145,2.5329700754999998,2.540706894833333,2.544592151666666,2.5506466793333327,2.544039748666666,2.5279588596666662,2.493372762333333,2.458698123333333,2.441377651,2.4402160328333333,2.4579137896666667,2.491371963166667,2.5369160741666668,2.586842997666667,2.6389834628333335,2.690415594666667,2.7392357473333333,2.773977775,2.7753395943333334,2.7507144345000003,2.7278601080000002,2.7153651565000003,2.7019405175,2.7045419201666667,2.7133855103333335,2.7211223296666667,2.7335075865,2.7463798225000002,2.7491583085,2.7333873153333337,2.7116840305000003,2.6964442873333336,2.6883321483333336,2.6937668843333338,2.7135453703333337,2.7490400021666668,2.793300259,2.8397740575,2.8868233768333336,2.934802383666667,2.981674619666667,3.014999980666667,3.0091401945000005,2.9780903041666673,2.955628955500001,2.9429514610000007,2.936383341500001,2.9295053261666677,2.930020540000001,2.936335233000001,2.9469441968333348,2.9501156606666683,2.9398730620000015,2.909974213333335,2.869406093833335,2.843934328500002,2.8305485006666684,2.830134027000002,2.8510580950000017,2.886901433833335,2.932174460166668
UckfieldReservoir,0.9375,0.890625,0.84375,0.796875,0.75,0.756205889,0.7624117779999999,0.7686176669999999,0.7748235559999999,0.7810294449999998,0.7872353339999998,0.7934412229999998,0.7996471119999997,0.8058530009999997,0.8120588899999996,0.8182647789999996,0.8244706679999996,0.8306765569999995,0.8368824459999995,0.8430883349999995,0.8492942239999994,0.8555001129999994,0.8617060019999994,0.8679118909999993,0.8741177799999993,0.8803236689999993,0.8865295579999992,0.8927354469999992,0.8989413359999991,0.9051472249999991,0.9113531139999991,0.917559002999999,0.923764891999999,0.929970780999999,0.9361766699999989,0.9423825589999989,0.9485884479999989,0.9547943369999988,0.9610002259999988,0.9672061149999988,0.9734120039999987,0.9796178929999987,0.9858237819999986,0.9920296709999986,0.9982355599999986,1.0044414489999987,1.0106473379999987,1.0168532269999988,1.0230591159999989,1.029265004999999,1.035470893999999,1.041676782999999,1.0478826719999992,1.0540885609999993,1.0578207429999993,1.0615529249999993,1.0652851069999993,1.0690172889999994,1.0727494709999994,1.0764816529999994,1.0802138349999995,1.0839460169999995,1.0876781989999995,1.0914103809999995,1.0951425629999996,1.0988747449999996,1.1026069269999996,1.1063391089999997,1.1100712909999997,1.1138034729999997,1.1175356549999997,1.1212678369999998,1.1250000189999998
