Reservoirs,Start Level (ML)
SelsfieldReservoir,4.275
GrovelandsReservoir,3.45
BalcombeReservoir,3.225
CuckfieldReservoir,3.45
ButlersGreenReservoir,6.675
StFrancisReservoir,6.525
HorstedKeynesReservoir,27.45
WychCrossReservoir,10.2
NutleyReservoir,2.5125
UckfieldReservoir,0.9375
PopeswoodReservoir,14.325
CrowboroughReservoir,2.4
AshdownReservoir,7.65
ChilliesReservoir,0.9
CottageHillReservoir,2.7
BestBeechReservoir,1.95
HourneFarmReservoir,0.525
